variant,workload,n,fanout_target,groups,zipf_s,bytes_per_key,internal_node_bytes,leaf_bytes,total_bytes,internal_nodes,leaves,avg_leaf_depth,max_leaf_depth,node2,node4,node5,node16,node32,node48,node64,node256,menu_count
count2_node16_node256,uuid_fixture,100000,0,0,0,112.853,5985280.0,5300000.0,11285280.0,37408.0,100000.0,4.881,10.0,0.0,0.0,0.0,37408.0,0.0,0.0,0.0,0.0,2
count2_node16_node256,words_fixture,4096,0,0,0,116.46599999999998,369072.0,107973.0,477045.0,2271.0,4096.0,7.882,18.0,0.0,0.0,0.0,2268.0,0.0,0.0,0.0,3.0,2
count2_node16_node256,words_fixture,16384,0,0,0,117.005,1481024.0,435989.0,1917013.0,8947.0,16384.0,8.015,22.0,0.0,0.0,0.0,8921.0,0.0,0.0,0.0,26.0,2
count2_node16_node256,words_fixture,65536,0,0,0,114.148,5747744.0,1733029.0,7480773.0,34424.0,65536.0,7.943,22.0,0.0,0.0,0.0,34298.0,0.0,0.0,0.0,126.0,2
count2_node16_node256,words_fixture,235886,0,0,0,114.556,20754896.0,6267285.0,27022181.0,124256.0,235886.0,8.075,22.0,0.0,0.0,0.0,123797.0,0.0,0.0,0.0,459.0,2
count3_node4_node16_node256,dense_uint64,4096,0,0,0,32.102,33184.0,98304.0,131488.0,17.0,4096.0,8.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,3
count3_node4_node16_node256,dense_uint64,16384,0,0,0,32.188,134160.0,393216.0,527376.0,65.0,16384.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,3
count3_node4_node16_node256,dense_uint64,65536,0,0,0,32.094,530448.0,1572864.0,2103312.0,257.0,65536.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.0,3
count3_node4_node16_node256,dense_uint64,262144,0,0,0,32.094,2121848.0,6291456.0,8413304.0,1029.0,262144.0,8.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1028.0,3
count3_node4_node16_node256,dense_uint64,1048576,0,0,0,32.094,8487328.0,25165824.0,33653152.0,4113.0,1048576.0,8.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4112.0,3
count3_node4_node16_node256,sparse_uint64,4096,0,0,0,82.273,238688.0,98304.0,336992.0,385.0,4096.0,2.065,4.0,0.0,128.0,0.0,157.0,0.0,0.0,0.0,100.0,3
count3_node4_node16_node256,sparse_uint64,16384,0,0,0,62.487,630576.0,393216.0,1023792.0,2045.0,16384.0,2.231,4.0,0.0,1788.0,0.0,0.0,0.0,0.0,0.0,257.0,3
