variant,workload,n,fanout_target,groups,bytes_per_key,internal_node_bytes,leaf_bytes,total_bytes,internal_nodes,leaves,avg_leaf_depth,max_leaf_depth,node2,node4,node5,node16,node32,node48,node64,node256,node2_bytes,node4_bytes,node5_bytes,node16_bytes,node32_bytes,node48_bytes,node64_bytes,node256_bytes,fanout_1_2,fanout_3_5,fanout_6_16,fanout_17_32,fanout_33_48,fanout_49_64,fanout_65_256
node256_only,controlled_fanout,3100,31,100,89.24600000000001,208464.0,68200.0,276664.0,101.0,3100.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208464.0,0.0,0.0,0.0,100.0,0.0,0.0,1.0
node256_only,controlled_fanout,3200,32,100,87.145,208464.0,70400.0,278864.0,101.0,3200.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208464.0,0.0,0.0,0.0,100.0,0.0,0.0,1.0
node256_only,controlled_fanout,3300,33,100,85.171,208464.0,72600.0,281064.0,101.0,3300.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208464.0,0.0,0.0,0.0,0.0,100.0,0.0,1.0
node256_only,controlled_fanout,3400,34,100,83.31300000000002,208464.0,74800.0,283264.0,101.0,3400.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208464.0,0.0,0.0,0.0,0.0,100.0,0.0,1.0
node256_only,controlled_fanout,3700,37,100,78.342,208464.0,81400.0,289864.0,101.0,3700.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208464.0,0.0,0.0,0.0,0.0,100.0,0.0,1.0
node256_only,controlled_fanout,4000,4,1000,540.58,2074320.0,88000.0,2162320.0,1005.0,4000.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2074320.0,0.0,1001.0,0.0,0.0,0.0,0.0,4.0
node256_only,controlled_fanout,4000,40,100,74.116,208464.0,88000.0,296464.0,101.0,4000.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208464.0,0.0,0.0,0.0,0.0,100.0,0.0,1.0
node256_only,controlled_fanout,4700,47,100,66.354,208464.0,103400.0,311864.0,101.0,4700.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208464.0,0.0,0.0,0.0,0.0,100.0,0.0,1.0
node256_only,controlled_fanout,4800,48,100,65.43,208464.0,105600.0,314064.0,101.0,4800.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208464.0,0.0,0.0,0.0,0.0,100.0,0.0,1.0
node256_only,controlled_fanout,4900,49,100,64.544,208464.0,107800.0,316264.0,101.0,4900.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208464.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0
node256_only,controlled_fanout,5000,5,1000,436.8639999999999,2074320.0,110000.0,2184320.0,1005.0,5000.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2074320.0,0.0,1001.0,0.0,0.0,0.0,0.0,4.0
node256_only,controlled_fanout,5000,50,100,63.693000000000005,208464.0,110000.0,318464.0,101.0,5000.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208464.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0
node256_only,controlled_fanout,5600,56,100,59.226000000000006,208464.0,123200.0,331664.0,101.0,5600.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208464.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0
node256_only,controlled_fanout,6000,6,1000,367.72,2074320.0,132000.0,2206320.0,1005.0,6000.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2074320.0,0.0,1.0,1000.0,0.0,0.0,0.0,4.0
node256_only,controlled_fanout,6300,63,100,55.09,208464.0,138600.0,347064.0,101.0,6300.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208464.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0
node256_only,controlled_fanout,6400,64,100,54.57200000000001,208464.0,140800.0,349264.0,101.0,6400.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208464.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0
node256_only,controlled_fanout,6500,65,100,54.071,208464.0,143000.0,351464.0,101.0,6500.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208464.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0
node256_only,controlled_fanout,6600,66,100,53.585,208464.0,145200.0,353664.0,101.0,6600.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208464.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0
node256_only,controlled_fanout,7000,7,1000,318.331,2074320.0,154000.0,2228320.0,1005.0,7000.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2074320.0,0.0,1.0,1000.0,0.0,0.0,0.0,4.0
node256_only,controlled_fanout,8000,8,1000,281.29,2074320.0,176000.0,2250320.0,1005.0,8000.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2074320.0,0.0,1.0,1000.0,0.0,0.0,0.0,4.0
node256_only,controlled_fanout,8000,80,100,48.058,208464.0,176000.0,384464.0,101.0,8000.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208464.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0
node256_only,controlled_fanout,9600,96,100,43.715,208464.0,211200.0,419664.0,101.0,9600.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208464.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0
node256_only,controlled_fanout,10000,1,10000,30.462,84624.0,220000.0,304624.0,41.0,10000.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84624.0,0.0,0.0,1.0,0.0,1.0,0.0,39.0
node256_only,controlled_fanout,11200,112,100,40.613,208464.0,246400.0,454864.0,101.0,11200.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208464.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0
node256_only,controlled_fanout,12000,12,1000,194.86,2074320.0,264000.0,2338320.0,1005.0,12000.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2074320.0,0.0,1.0,1000.0,0.0,0.0,0.0,4.0
node256_only,controlled_fanout,12800,128,100,38.286,208464.0,281600.0,490064.0,101.0,12800.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208464.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0
node256_only,controlled_fanout,15000,15,1000,160.288,2074320.0,330000.0,2404320.0,1005.0,15000.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2074320.0,0.0,1.0,1000.0,0.0,0.0,0.0,4.0
node256_only,controlled_fanout,16000,16,1000,151.645,2074320.0,352000.0,2426320.0,1005.0,16000.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2074320.0,0.0,1.0,1000.0,0.0,0.0,0.0,4.0
node256_only,controlled_fanout,16000,160,100,35.029,208464.0,352000.0,560464.0,101.0,16000.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208464.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0
node256_only,controlled_fanout,17000,17,1000,144.019,2074320.0,374000.0,2448320.0,1005.0,17000.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2074320.0,0.0,1.0,0.0,1000.0,0.0,0.0,4.0
node256_only,controlled_fanout,18000,18,1000,137.24,2074320.0,396000.0,2470320.0,1005.0,18000.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2074320.0,0.0,1.0,0.0,1000.0,0.0,0.0,4.0
node256_only,controlled_fanout,19200,192,100,32.858,208464.0,422400.0,630864.0,101.0,19200.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208464.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0
