menu,node_count,node_types,variant,workload,n,seed,fanout_target,groups,zipf_s,run,operation,seconds,ops,mops_per_sec,keys,node4,node16,node32,node48,node256,internal_nodes,leaves,internal_node_bytes,leaf_bytes,total_bytes,bytes_per_key,avg_leaf_depth,max_leaf_depth,fanout_0_4,fanout_5_16,fanout_17_32,fanout_33_48,fanout_49_64,fanout_65_256,node64,node4_bytes,node16_bytes,node32_bytes,node48_bytes,node64_bytes,node256_bytes,node2,node5,node2_bytes,node5_bytes,fanout_1_2,fanout_3_5,fanout_6_16,unique_keys,duplicate_keys
count1_node256,1,NODE256,count1_node256,dense_uint64,1000000,1,0,0,0,0,lookup_absent_late,0.021426000,1000000,46.672268,1000000,0,0,0,0,3924,3924,1000000,8099136,24000000,32099136,32.099,8.000,8,0,1,0,0,1,3922,0,0,0,0,0,0,8099136,0,0,0,0,0,0,1,1000000,0
count1_node256,1,NODE256,count1_node256,dense_uint64,1000000,1,0,0,0,0,insert,0.155037000,1000000,6.450073,1000000,0,0,0,0,3924,3924,1000000,8099136,24000000,32099136,32.099,8.000,8,0,1,0,0,1,3922,0,0,0,0,0,0,8099136,0,0,0,0,0,0,1,1000000,0
count1_node256,1,NODE256,count1_node256,dense_uint64,1000000,1,0,0,0,0,lookup_success,0.097758000,1000000,10.229342,1000000,0,0,0,0,3924,3924,1000000,8099136,24000000,32099136,32.099,8.000,8,0,1,0,0,1,3922,0,0,0,0,0,0,8099136,0,0,0,0,0,0,1,1000000,0
count1_node256,1,NODE256,count1_node256,dense_uint64,1000000,1,0,0,0,0,lookup_absent_early,0.006351000,1000000,157.455526,1000000,0,0,0,0,3924,3924,1000000,8099136,24000000,32099136,32.099,8.000,8,0,1,0,0,1,3922,0,0,0,0,0,0,8099136,0,0,0,0,0,0,1,1000000,0
count1_node256,1,NODE256,count1_node256,dense_uint64,1000000,1,0,0,0,0,lookup_absent_late,0.020630000,1000000,48.473097,1000000,0,0,0,0,3924,3924,1000000,8099136,24000000,32099136,32.099,8.000,8,0,1,0,0,1,3922,0,0,0,0,0,0,8099136,0,0,0,0,0,0,1,1000000,0
count1_node256,1,NODE256,count1_node256,sparse_uint64,100000,1,0,0,0,0,insert,0.016575000,100000,6.033182,100000,0,0,0,0,30142,30142,100000,62213088,2400000,64613088,646.131,2.789,4,28664,1221,0,0,0,257,0,0,0,0,0,0,62213088,0,0,0,0,17071,12528,286,100000,0
count1_node256,1,NODE256,count1_node256,sparse_uint64,100000,1,0,0,0,0,lookup_success,0.004818999,100000,20.751197,100000,0,0,0,0,30142,30142,100000,62213088,2400000,64613088,646.131,2.789,4,28664,1221,0,0,0,257,0,0,0,0,0,0,62213088,0,0,0,0,17071,12528,286,100000,0
count1_node256,1,NODE256,count1_node256,sparse_uint64,100000,1,0,0,0,0,lookup_absent_early,0.003535001,100000,28.288538,100000,0,0,0,0,30142,30142,100000,62213088,2400000,64613088,646.131,2.789,4,28664,1221,0,0,0,257,0,0,0,0,0,0,62213088,0,0,0,0,17071,12528,286,100000,0
count1_node256,1,NODE256,count1_node256,sparse_uint64,100000,1,0,0,0,0,lookup_absent_late,0.004631000,100000,21.593610,100000,0,0,0,0,30142,30142,100000,62213088,2400000,64613088,646.131,2.789,4,28664,1221,0,0,0,257,0,0,0,0,0,0,62213088,0,0,0,0,17071,12528,286,100000,0
count1_node256,1,NODE256,count1_node256,sparse_uint64,100000,1,0,0,0,0,insert,0.017552000,100000,5.697357,100000,0,0,0,0,30142,30142,100000,62213088,2400000,64613088,646.131,2.789,4,28664,1221,0,0,0,257,0,0,0,0,0,0,62213088,0,0,0,0,17071,12528,286,100000,0
count1_node256,1,NODE256,count1_node256,sparse_uint64,100000,1,0,0,0,0,lookup_success,0.005181001,100000,19.301291,100000,0,0,0,0,30142,30142,100000,62213088,2400000,64613088,646.131,2.789,4,28664,1221,0,0,0,257,0,0,0,0,0,0,62213088,0,0,0,0,17071,12528,286,100000,0
count1_node256,1,NODE256,count1_node256,sparse_uint64,100000,1,0,0,0,0,lookup_absent_early,0.003223999,100000,31.017375,100000,0,0,0,0,30142,30142,100000,62213088,2400000,64613088,646.131,2.789,4,28664,1221,0,0,0,257,0,0,0,0,0,0,62213088,0,0,0,0,17071,12528,286,100000,0
count1_node256,1,NODE256,count1_node256,sparse_uint64,100000,1,0,0,0,0,lookup_absent_late,0.003857000,100000,25.926888,100000,0,0,0,0,30142,30142,100000,62213088,2400000,64613088,646.131,2.789,4,28664,1221,0,0,0,257,0,0,0,0,0,0,62213088,0,0,0,0,17071,12528,286,100000,0
count1_node256,1,NODE256,count1_node256,sparse_uint64,100000,1,0,0,0,0,insert,0.017424000,100000,5.739210,100000,0,0,0,0,30142,30142,100000,62213088,2400000,64613088,646.131,2.789,4,28664,1221,0,0,0,257,0,0,0,0,0,0,62213088,0,0,0,0,17071,12528,286,100000,0
count1_node256,1,NODE256,count1_node256,sparse_uint64,100000,1,0,0,0,0,lookup_success,0.005851000,100000,17.091097,100000,0,0,0,0,30142,30142,100000,62213088,2400000,64613088,646.131,2.789,4,28664,1221,0,0,0,257,0,0,0,0,0,0,62213088,0,0,0,0,17071,12528,286,100000,0
count1_node256,1,NODE256,count1_node256,sparse_uint64,100000,1,0,0,0,0,lookup_absent_early,0.003153000,100000,31.715826,100000,0,0,0,0,30142,30142,100000,62213088,2400000,64613088,646.131,2.789,4,28664,1221,0,0,0,257,0,0,0,0,0,0,62213088,0,0,0,0,17071,12528,286,100000,0
count1_node256,1,NODE256,count1_node256,sparse_uint64,100000,1,0,0,0,0,lookup_absent_late,0.004222000,100000,23.685457,100000,0,0,0,0,30142,30142,100000,62213088,2400000,64613088,646.131,2.789,4,28664,1221,0,0,0,257,0,0,0,0,0,0,62213088,0,0,0,0,17071,12528,286,100000,0
count1_node256,1,NODE256,count1_node256,sparse_uint64,1000000,1,0,0,0,0,insert,0.246711999,1000000,4.053309,1000000,0,0,0,0,94318,94318,1000000,194672352,24000000,218672352,218.672,3.058,6,28581,44789,20689,2,0,257,0,0,0,0,0,0,194672352,0,0,0,0,27948,748,44674,1000000,0
count1_node256,1,NODE256,count1_node256,sparse_uint64,1000000,1,0,0,0,0,lookup_success,0.107221001,1000000,9.326531,1000000,0,0,0,0,94318,94318,1000000,194672352,24000000,218672352,218.672,3.058,6,28581,44789,20689,2,0,257,0,0,0,0,0,0,194672352,0,0,0,0,27948,748,44674,1000000,0
count1_node256,1,NODE256,count1_node256,sparse_uint64,1000000,1,0,0,0,0,lookup_absent_early,0.044719000,1000000,22.361859,1000000,0,0,0,0,94318,94318,1000000,194672352,24000000,218672352,218.672,3.058,6,28581,44789,20689,2,0,257,0,0,0,0,0,0,194672352,0,0,0,0,27948,748,44674,1000000,0
