variant,workload,n,fanout_target,groups,bytes_per_key,internal_node_bytes,leaf_bytes,total_bytes,internal_nodes,leaves,avg_leaf_depth,max_leaf_depth,node2,node4,node5,node16,node32,node48,node64,node256,node2_bytes,node4_bytes,node5_bytes,node16_bytes,node32_bytes,node48_bytes,node64_bytes,node256_bytes,fanout_1_2,fanout_3_5,fanout_6_16,fanout_17_32,fanout_33_48,fanout_49_64,fanout_65_256
node256_only,sparse_uint64,1048576,0,0,215.199,200486640.0,25165824.0,225652464.0,97135.0,1048576.0,3.0610000000000004,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200486640.0,30666.0,777.0,40212.0,25219.0,4.0,0.0,257.0
node256_only,sparse_uint64,2097152,0,0,207.787,385429296.0,50331648.0,435760944.0,186739.0,2097152.0,3.1180000000000003,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186739.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385429296.0,116024.0,4922.0,158.0,44854.0,20497.0,27.0,257.0
node256_only,sparse_uint64,4194304,0,0,275.67,1055579136.0,100663296.0,1156242432.0,511424.0,4194304.0,3.222,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,511424.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1055579136.0,409933.0,35695.0,3.0,4.0,7146.0,50490.0,8153.0
node256_only,uuid_fixture,4096,0,0,771.57,2943264.0,217088.0,3160352.0,1426.0,4096.0,3.704,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1426.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2943264.0,842.0,310.0,274.0,0.0,0.0,0.0,0.0
node256_only,uuid_fixture,8192,0,0,837.33,6425232.0,434176.0,6859408.0,3113.0,8192.0,4.007,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6425232.0,1596.0,1214.0,303.0,0.0,0.0,0.0,0.0
node256_only,uuid_fixture,16384,0,0,774.594,11822592.0,868352.0,12690944.0,5728.0,16384.0,4.223,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5728.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11822592.0,2371.0,2581.0,776.0,0.0,0.0,0.0,0.0
node256_only,uuid_fixture,32768,0,0,712.55,21612144.0,1736704.0,23348848.0,10471.0,32768.0,4.428,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10471.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21612144.0,5394.0,2124.0,2953.0,0.0,0.0,0.0,0.0
node256_only,uuid_fixture,65536,0,0,776.011,47383248.0,3473408.0,50856656.0,22957.0,65536.0,4.7,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22957.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47383248.0,14078.0,4533.0,4346.0,0.0,0.0,0.0,0.0
node256_only,uuid_fixture,100000,0,0,825.101,77210112.0,5300000.0,82510112.0,37408.0,100000.0,4.881,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77210112.0,21609.0,11293.0,4506.0,0.0,0.0,0.0,0.0
node256_only,words_fixture,4096,0,0,1170.732,4687344.0,107973.0,4795317.0,2271.0,4096.0,7.882,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4687344.0,1440.0,709.0,119.0,3.0,0.0,0.0,0.0
node256_only,words_fixture,8192,0,0,1147.395,9184800.0,214659.0,9399459.0,4450.0,8192.0,7.708000000000001,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9184800.0,2852.0,1332.0,253.0,13.0,0.0,0.0,0.0
node256_only,words_fixture,16384,0,0,1153.723,18466608.0,435989.0,18902597.0,8947.0,16384.0,8.015,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8947.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18466608.0,5803.0,2606.0,512.0,26.0,0.0,0.0,0.0
node256_only,words_fixture,32768,0,0,1095.142,35028144.0,857474.0,35885618.0,16971.0,32768.0,7.666,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35028144.0,10781.0,4997.0,1124.0,69.0,0.0,0.0,0.0
node256_only,words_fixture,65536,0,0,1110.598,71051136.0,1733029.0,72784165.0,34424.0,65536.0,7.943,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34424.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71051136.0,21726.0,10436.0,2136.0,126.0,0.0,0.0,0.0
node256_only,words_fixture,131072,0,0,1112.731,142380912.0,3466906.0,145847818.0,68983.0,131072.0,7.931,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68983.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142380912.0,43929.0,20544.0,4244.0,266.0,0.0,0.0,0.0
node256_only,words_fixture,235886,0,0,1113.808,256464384.0,6267285.0,262731669.0,124256.0,235886.0,8.075,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256464384.0,79113.0,36939.0,7745.0,458.0,0.0,1.0,0.0
node32_node64,dense_uint64,4096,0,0,32.102,33184.0,98304.0,131488.0,17.0,4096.0,8.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,160.0,0.0,0.0,0.0,33024.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0
node32_node64,dense_uint64,8192,0,0,32.1,66352.0,196608.0,262960.0,33.0,8192.0,8.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,304.0,0.0,0.0,66048.0,0.0,0.0,0.0,1.0,0.0,0.0,32.0
node32_node64,dense_uint64,16384,0,0,32.11,132880.0,393216.0,526096.0,65.0,16384.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,784.0,132096.0,0.0,0.0,0.0,0.0,0.0,1.0,64.0
node32_node64,dense_uint64,32768,0,0,32.125,266256.0,786432.0,1052688.0,129.0,32768.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266256.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0
node32_node64,dense_uint64,65536,0,0,32.094,530448.0,1572864.0,2103312.0,257.0,65536.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530448.0,0.0,0.0,0.0,0.0,0.0,0.0,257.0
node32_node64,dense_uint64,131072,0,0,32.094,1060952.0,3145728.0,4206680.0,515.0,131072.0,8.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,514.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,1060896.0,1.0,0.0,0.0,0.0,0.0,0.0,514.0
