variant,workload,n,fanout_target,groups,zipf_s,operation,runs,mean,std,ci95
node256_only,dense_uint64,65536,0,0,0.0,insert,175,18.601518702857142,1.6874928588227014,0.2500224408439686
node256_only,dense_uint64,65536,0,0,0.0,lookup_absent,175,296.56039019428573,21.239719604668107,3.1469208954789165
node256_only,dense_uint64,65536,0,0,0.0,lookup_success,25,38.9287106,1.5308141090214877,0.6000791307364232
node256_only,dense_uint64,65536,0,0,0.25,lookup_success,25,39.30380528,1.7433221590478611,0.6833822863467616
node256_only,dense_uint64,65536,0,0,0.5,lookup_success,25,40.37011192,0.8189115001948682,0.32101330807638834
node256_only,dense_uint64,65536,0,0,0.75,lookup_success,25,43.46912808,1.1627407102437588,0.45579435841555344
node256_only,dense_uint64,65536,0,0,1.0,lookup_success,25,52.84126428,2.260440799917512,0.8860927935676646
node256_only,dense_uint64,65536,0,0,1.25,lookup_success,25,72.34242496,1.0767103068948618,0.4220704403027858
node256_only,dense_uint64,65536,0,0,1.5,lookup_success,25,89.05433076,1.5063527285789309,0.5904902696029409
node256_only,dense_uint64,262144,0,0,0.0,insert,175,9.464826697142858,0.5269261595057911,0.07807047233141388
node256_only,dense_uint64,262144,0,0,0.0,lookup_absent,175,210.43823806285712,5.260687891219177,0.7794344255765061
node256_only,dense_uint64,262144,0,0,0.0,lookup_success,25,9.746711040000001,1.1673320281223007,0.45759415502394185
node256_only,dense_uint64,262144,0,0,0.25,lookup_success,25,10.70701944,0.4969174349096372,0.19479163448457776
node256_only,dense_uint64,262144,0,0,0.5,lookup_success,25,11.0679276,0.7803206666967647,0.30588570134513177
node256_only,dense_uint64,262144,0,0,0.75,lookup_success,25,12.675995519999999,0.6601170562245713,0.2587658860400319
node256_only,dense_uint64,262144,0,0,1.0,lookup_success,25,18.15993528,1.2437507945610362,0.48755031146792616
node256_only,dense_uint64,262144,0,0,1.25,lookup_success,25,35.6711788,2.8733943124871044,1.126370570494945
node256_only,dense_uint64,262144,0,0,1.5,lookup_success,25,61.3770636,4.186015032680783,1.640917892810867
node256_only,dense_uint64,1048576,0,0,0.0,insert,175,3.080401302857143,0.062460548589100884,0.009254284385887926
node256_only,dense_uint64,1048576,0,0,0.0,lookup_absent,175,207.60456081714287,5.378711485926228,0.7969210460807394
node256_only,dense_uint64,1048576,0,0,0.0,lookup_success,25,4.38823748,0.0994202915413985,0.03897275428422821
node256_only,dense_uint64,1048576,0,0,0.25,lookup_success,25,4.43443752,0.0625955623614273,0.0245374604456795
node256_only,dense_uint64,1048576,0,0,0.5,lookup_success,25,4.55641196,0.06549342634346338,0.025673423126637646
node256_only,dense_uint64,1048576,0,0,0.75,lookup_success,25,5.153025159999999,0.08730865056877218,0.034224991022958694
node256_only,dense_uint64,1048576,0,0,1.0,lookup_success,25,8.17054404,0.09264672457129827,0.036317516031948924
node256_only,dense_uint64,1048576,0,0,1.25,lookup_success,25,21.455326879999998,0.5979728080003809,0.23440534073614933
node256_only,dense_uint64,1048576,0,0,1.5,lookup_success,25,48.72995756,2.2859071897192895,0.8960756183699615
node256_only,dense_uint64,4194304,0,0,0.0,insert,175,2.4532374228571427,0.015107380698429653,0.00223834084821884
node256_only,dense_uint64,4194304,0,0,0.0,lookup_absent,175,205.49956757142857,7.675619850982988,1.1372357519024117
node256_only,dense_uint64,4194304,0,0,0.0,lookup_success,25,3.7152808,0.041801738750718666,0.01638628159028172
node256_only,dense_uint64,4194304,0,0,0.25,lookup_success,25,3.7086282,0.019359938395218754,0.007589095850925752
node256_only,dense_uint64,4194304,0,0,0.5,lookup_success,25,3.7347966400000003,0.02855052437037427,0.011191805553186714
node256_only,dense_uint64,4194304,0,0,0.75,lookup_success,25,4.065651,0.027039186433767046,0.010599361082036681
node256_only,dense_uint64,4194304,0,0,1.0,lookup_success,25,6.03499228,0.07186331010821863,0.028170417562421703
node256_only,dense_uint64,4194304,0,0,1.25,lookup_success,25,17.04704336,0.6424076378671674,0.25182379404392957
node256_only,dense_uint64,4194304,0,0,1.5,lookup_success,25,46.48484184,1.4598639769492419,0.5722666789641029
node256_only,sparse_uint64,65536,0,0,0.0,insert,175,3.8771664114285715,0.19501092496823771,0.02889322298277147
node256_only,sparse_uint64,65536,0,0,0.0,lookup_absent,175,31.75328729142857,3.2715958981831146,0.4847264316659247
node256_only,sparse_uint64,65536,0,0,0.0,lookup_success,25,10.464516800000002,0.45196086300346106,0.17716865829735673
