variant,workload,n,fanout_target,groups,zipf_s,operation,runs,mean,std,ci95,menu_count
count1_node256,sparse_uint64,16384,0,0,0.0,lookup_success,25,35.90879084,3.271925455344283,1.282594778494959,1
count1_node256,sparse_uint64,32768,0,0,0.0,insert,25,11.06711076,2.033169428466618,0.7970024159589143,1
count1_node256,sparse_uint64,32768,0,0,0.0,lookup_absent_early,25,54.94526,5.10145726489292,1.9997712478380247,1
count1_node256,sparse_uint64,32768,0,0,0.0,lookup_absent_late,25,49.21415616,7.855618649684577,3.079402510676354,1
count1_node256,sparse_uint64,32768,0,0,0.0,lookup_success,25,24.99563436,3.1737811844674853,1.2441222243112542,1
count1_node256,sparse_uint64,65536,0,0,0.0,insert,25,5.45942796,0.8216254404484586,0.3220771726557958,1
count1_node256,sparse_uint64,65536,0,0,0.0,lookup_absent_early,25,29.4575622,1.820695417555449,0.7137126036817361,1
count1_node256,sparse_uint64,65536,0,0,0.0,lookup_absent_late,25,24.64186664,3.618044458996392,1.4182734279265854,1
count1_node256,sparse_uint64,65536,0,0,0.0,lookup_success,25,12.380192999999998,1.1470947345932971,0.44966113596057244,1
count1_node256,sparse_uint64,131072,0,0,0.0,insert,25,4.0884384,0.48766358812206123,0.191164126543848,1
count1_node256,sparse_uint64,131072,0,0,0.0,lookup_absent_early,25,21.058341719999998,0.7667282615416688,0.3005574785243342,1
count1_node256,sparse_uint64,131072,0,0,0.0,lookup_absent_late,25,15.74094928,1.8483902614711698,0.7245689824966985,1
count1_node256,sparse_uint64,131072,0,0,0.0,lookup_success,25,9.73187232,0.7435515637130641,0.2914722129755211,1
count1_node256,sparse_uint64,262144,0,0,0.0,insert,25,3.7810619200000004,0.3620555429733722,0.1419257728455619,1
count1_node256,sparse_uint64,262144,0,0,0.0,lookup_absent_early,25,18.970602200000002,0.5062599873671627,0.19845391504792778,1
count1_node256,sparse_uint64,262144,0,0,0.0,lookup_absent_late,25,12.24551748,0.7240229241971056,0.2838169862852654,1
count1_node256,sparse_uint64,262144,0,0,0.0,lookup_success,25,6.972727959999999,0.7925713886282572,0.3106879843422768,1
count1_node256,sparse_uint64,524288,0,0,0.0,insert,25,3.5212179200000002,0.2808006329318188,0.11007384810927297,1
count1_node256,sparse_uint64,524288,0,0,0.0,lookup_absent_early,25,18.14248672,0.559791030109489,0.21943808380291968,1
count1_node256,sparse_uint64,524288,0,0,0.0,lookup_absent_late,25,11.216635839999999,0.3364399636790937,0.13188446576220472,1
count1_node256,sparse_uint64,524288,0,0,0.0,lookup_success,25,5.54997088,0.28812223572011947,0.11294391640228682,1
count1_node256,sparse_uint64,1048576,0,0,0.0,insert,25,3.3021648,0.17558261903113687,0.06882838666020566,1
count1_node256,sparse_uint64,1048576,0,0,0.0,lookup_absent_early,25,16.8665096,0.5959798072210584,0.23362408443065488,1
count1_node256,sparse_uint64,1048576,0,0,0.0,lookup_absent_late,25,10.24018436,0.5375092153153342,0.21070361240361102,1
count1_node256,sparse_uint64,1048576,0,0,0.0,lookup_success,25,4.96465408,0.23369821760123324,0.09160970129968343,1
count1_node256,uuid_fixture,4096,0,0,0.0,insert,25,13.778597159999999,2.572178326338198,1.0082939039245735,1
count1_node256,uuid_fixture,4096,0,0,0.0,lookup_absent_early,25,267.82170392,2.9418100304881594,1.1531895319513583,1
count1_node256,uuid_fixture,4096,0,0,0.0,lookup_absent_late,25,56.2702636,3.240710963710421,1.2703586977744852,1
count1_node256,uuid_fixture,4096,0,0,0.0,lookup_success,25,35.39804656,4.012041337412293,1.5727202042656188,1
count1_node256,uuid_fixture,8192,0,0,0.0,insert,25,12.668094840000002,2.2533373521019087,0.8833082420239482,1
count1_node256,uuid_fixture,8192,0,0,0.0,lookup_absent_early,25,257.76759996,17.974695917697165,7.046080799737288,1
count1_node256,uuid_fixture,8192,0,0,0.0,lookup_absent_late,25,50.559916439999995,2.5405861240274694,0.9959097606187679,1
count1_node256,uuid_fixture,8192,0,0,0.0,lookup_success,25,29.76564508,3.4696476671331244,1.3601018855161846,1
count1_node256,uuid_fixture,16384,0,0,0.0,insert,25,12.40472456,2.1845899571757945,0.8563592632129116,1
count1_node256,uuid_fixture,16384,0,0,0.0,lookup_absent_early,25,262.57515296,11.982628579085548,4.697190403001534,1
count1_node256,uuid_fixture,16384,0,0,0.0,lookup_absent_late,25,44.01930864,3.8985629628057255,1.5282366814198443,1
count1_node256,uuid_fixture,16384,0,0,0.0,lookup_success,25,26.841404320000002,2.207287278185256,0.8652566130486203,1
count1_node256,uuid_fixture,32768,0,0,0.0,insert,25,5.631408199999999,0.9575453829374965,0.3753577901114986,1
count1_node256,uuid_fixture,32768,0,0,0.0,lookup_absent_early,25,263.6611806,9.570899998323597,3.75179279934285,1
count1_node256,uuid_fixture,32768,0,0,0.0,lookup_absent_late,25,21.88699772,2.952577477715397,1.1574103712644355,1
count1_node256,uuid_fixture,32768,0,0,0.0,lookup_success,25,11.630328440000001,1.266305887398166,0.4963919078600811,1
count1_node256,uuid_fixture,65536,0,0,0.0,insert,25,4.34172056,0.5451999621936952,0.21371838517992853,1
count1_node256,uuid_fixture,65536,0,0,0.0,lookup_absent_early,25,276.43082532,8.588962368796562,3.3668732485682518,1
count1_node256,uuid_fixture,65536,0,0,0.0,lookup_absent_late,25,20.204402560000002,3.383339392040023,1.326269041679689,1
count1_node256,uuid_fixture,65536,0,0,0.0,lookup_success,25,8.70762532,0.4723500198458699,0.18516120777958098,1
count1_node256,uuid_fixture,100000,0,0,0.0,insert,100,3.32136413,0.3955465221818218,0.07752711834763706,1
count1_node256,uuid_fixture,100000,0,0,0.0,lookup_absent_early,100,268.11219031,14.654540054635632,2.872289850708584,1
count1_node256,uuid_fixture,100000,0,0,0.0,lookup_absent_late,100,10.94851213,1.5546693789170858,0.30471519826774884,1
count1_node256,uuid_fixture,100000,0,0,0.0,lookup_success,100,6.09531402,0.5094471777694247,0.09985164684280724,1
count1_node256,words_fixture,4096,0,0,0.0,insert,25,7.1963846,1.2450195291863897,0.48804765544106476,1
count1_node256,words_fixture,4096,0,0,0.0,lookup_absent_early,25,280.30666568,26.80461694685314,10.507409843166432,1
count1_node256,words_fixture,4096,0,0,0.0,lookup_absent_late,25,25.569437039999997,1.082538964317008,0.4243552740122672,1
count1_node256,words_fixture,4096,0,0,0.0,lookup_success,25,14.21292764,0.8977681993947033,0.3519251341627237,1
count1_node256,words_fixture,8192,0,0,0.0,insert,25,6.88227156,1.1706145029295896,0.4588808851483991,1
count1_node256,words_fixture,8192,0,0,0.0,lookup_absent_early,25,267.47282488,11.053294582900525,4.3328914764970055,1
count1_node256,words_fixture,8192,0,0,0.0,lookup_absent_late,25,23.98840988,1.7778670031794255,0.6969238652463348,1
count1_node256,words_fixture,8192,0,0,0.0,lookup_success,25,12.49424356,1.1358162033925603,0.4452399517298836,1
count1_node256,words_fixture,16384,0,0,0.0,insert,25,5.43201328,1.094331944289739,0.4289781221615777,1
count1_node256,words_fixture,16384,0,0,0.0,lookup_absent_early,25,260.81642811999996,22.516579127900968,8.82649901813718,1
count1_node256,words_fixture,16384,0,0,0.0,lookup_absent_late,25,20.615736560000002,1.9426925087239972,0.7615354634198069,1
count1_node256,words_fixture,16384,0,0,0.0,lookup_success,25,9.955432479999999,0.8610090776153831,0.3375155584252302,1
count1_node256,words_fixture,32768,0,0,0.0,insert,25,3.45191584,0.596530797450397,0.23384007260055567,1
count1_node256,words_fixture,32768,0,0,0.0,lookup_absent_early,25,277.544943,29.84854542224764,11.700629805521075,1
count1_node256,words_fixture,32768,0,0,0.0,lookup_absent_late,25,14.91425848,2.8690416350181596,1.1246643209271185,1
count1_node256,words_fixture,32768,0,0,0.0,lookup_success,25,6.8015322000000005,0.9448775884626096,0.37039201467734295,1
count1_node256,words_fixture,65536,0,0,0.0,insert,25,2.55490148,0.3083301860542687,0.12086543293327331,1
count1_node256,words_fixture,65536,0,0,0.0,lookup_absent_early,25,268.53563888,15.515396543637769,6.082035445106006,1
count1_node256,words_fixture,65536,0,0,0.0,lookup_absent_late,25,14.532592560000001,2.3743909532743004,0.9307612536835258,1
count1_node256,words_fixture,65536,0,0,0.0,lookup_success,25,5.19248352,0.4100429687298151,0.16073684374208752,1
count1_node256,words_fixture,131072,0,0,0.0,insert,25,2.08757296,0.24002774500955787,0.09409087604374669,1
count1_node256,words_fixture,131072,0,0,0.0,lookup_absent_early,25,280.20169756,11.760900605510251,4.6102730373600185,1
count1_node256,words_fixture,131072,0,0,0.0,lookup_absent_late,25,7.25749948,1.2380315087776816,0.4853083514408512,1
count1_node256,words_fixture,131072,0,0,0.0,lookup_success,25,3.4150337200000003,0.4422974811675132,0.1733806126176652,1
count1_node256,words_fixture,235886,0,0,0.0,insert,75,1.7706499866666665,0.20530199654052758,0.04646421588339376,1
count1_node256,words_fixture,235886,0,0,0.0,lookup_absent_early,75,294.39195276,23.751333378349347,5.375432778084195,1
count1_node256,words_fixture,235886,0,0,0.0,lookup_absent_late,75,5.211982453333333,0.39642003461869724,0.08971829977011211,1
count1_node256,words_fixture,235886,0,0,0.0,lookup_success,75,2.300314,0.19355072436248655,0.04380465262251123,1
count2_node16_node256,dense_uint64,4096,0,0,0.0,insert,25,37.9272688,4.137912779508711,1.6220618095674149,2
count2_node16_node256,dense_uint64,4096,0,0,0.0,lookup_absent_early,25,213.30136208,14.317842980700155,5.612594448434461,2
count2_node16_node256,dense_uint64,4096,0,0,0.0,lookup_absent_late,25,132.15033164,6.210330151271789,2.434449419298541,2
count2_node16_node256,dense_uint64,4096,0,0,0.0,lookup_success,25,71.11192616,6.989073459522847,2.7397167961329556,2
count2_node16_node256,dense_uint64,8192,0,0,0.0,insert,25,34.24899664,3.3351838095387634,1.3073920533391952,2
count2_node16_node256,dense_uint64,8192,0,0,0.0,lookup_absent_early,25,216.18754464000003,8.998728299858495,3.5275014935445297,2
count2_node16_node256,dense_uint64,8192,0,0,0.0,lookup_absent_late,25,131.30536204,8.99911852464956,3.5276544616626273,2
count2_node16_node256,dense_uint64,8192,0,0,0.0,lookup_success,25,70.33509168,6.789214285193805,2.6613719997959717,2
count2_node16_node256,dense_uint64,16384,0,0,0.0,insert,25,24.20820988,2.1337441184085173,0.8364276944161387,2
count2_node16_node256,dense_uint64,16384,0,0,0.0,lookup_absent_early,25,220.61881744,26.042892142830734,10.208813719989648,2
count2_node16_node256,dense_uint64,16384,0,0,0.0,lookup_absent_late,25,115.08468275999999,11.373290817280628,4.458330000374007,2
count2_node16_node256,dense_uint64,16384,0,0,0.0,lookup_success,25,47.920391200000005,3.5429379819677695,1.3888316889313657,2
count2_node16_node256,dense_uint64,32768,0,0,0.0,insert,25,22.39001952,1.2108154387613514,0.4746396519944498,2
