variant,workload,n,seed,fanout_target,groups,zipf_s,run,operation,seconds,ops,mops_per_sec,keys,node4,node16,node32,node48,node256,internal_nodes,leaves,internal_node_bytes,leaf_bytes,total_bytes,bytes_per_key,avg_leaf_depth,max_leaf_depth,fanout_0_4,fanout_5_16,fanout_17_32,fanout_33_48,fanout_49_64,fanout_65_256,node64,node4_bytes,node16_bytes,node32_bytes,node48_bytes,node64_bytes,node256_bytes
original4,dense_uint64,65536,1,0,0,0,7,lookup_absent,0.000200600,65536,326.699898,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,8,insert,0.003666900,65536,17.872317,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,8,lookup_success,0.001675900,65536,39.104959,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,8,lookup_absent,0.000188400,65536,347.855624,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,9,insert,0.003858400,65536,16.985279,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,9,lookup_success,0.001685400,65536,38.884538,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,9,lookup_absent,0.000199200,65536,328.995984,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,10,insert,0.003771100,65536,17.378484,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,10,lookup_success,0.001673800,65536,39.154021,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,10,lookup_absent,0.000194300,65536,337.292845,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,11,insert,0.003871000,65536,16.929992,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,11,lookup_success,0.001689000,65536,38.801658,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,11,lookup_absent,0.000181900,65536,360.285873,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,12,insert,0.003674900,65536,17.833410,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,12,lookup_success,0.001677400,65536,39.069989,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
