variant,workload,n,seed,fanout_target,groups,zipf_s,run,operation,seconds,ops,mops_per_sec,keys,node4,node16,node32,node48,node256,internal_nodes,leaves,internal_node_bytes,leaf_bytes,total_bytes,bytes_per_key,avg_leaf_depth,max_leaf_depth,fanout_0_4,fanout_5_16,fanout_17_32,fanout_33_48,fanout_49_64,fanout_65_256,node64,node4_bytes,node16_bytes,node32_bytes,node48_bytes,node64_bytes,node256_bytes,node2,node5,node2_bytes,node5_bytes,fanout_1_2,fanout_3_5,fanout_6_16
original4,dense_uint64,4096,1,0,0,0,7,insert,0.000206300,4096,19.854581,4096,0,1,0,0,16,17,4096,33184,98304,131488,32.102,8.000,8,0,1,0,0,0,16,0,0,160,0,0,0,33024,0,0,0,0,0,0,1
original4,dense_uint64,4096,1,0,0,0,7,lookup_success,0.000057000,4096,71.859649,4096,0,1,0,0,16,17,4096,33184,98304,131488,32.102,8.000,8,0,1,0,0,0,16,0,0,160,0,0,0,33024,0,0,0,0,0,0,1
original4,dense_uint64,4096,1,0,0,0,7,lookup_absent,0.000017600,4096,232.727275,4096,0,1,0,0,16,17,4096,33184,98304,131488,32.102,8.000,8,0,1,0,0,0,16,0,0,160,0,0,0,33024,0,0,0,0,0,0,1
original4,dense_uint64,4096,1,0,0,0,8,insert,0.000190800,4096,21.467505,4096,0,1,0,0,16,17,4096,33184,98304,131488,32.102,8.000,8,0,1,0,0,0,16,0,0,160,0,0,0,33024,0,0,0,0,0,0,1
original4,dense_uint64,4096,1,0,0,0,8,lookup_success,0.000055500,4096,73.801802,4096,0,1,0,0,16,17,4096,33184,98304,131488,32.102,8.000,8,0,1,0,0,0,16,0,0,160,0,0,0,33024,0,0,0,0,0,0,1
original4,dense_uint64,4096,1,0,0,0,8,lookup_absent,0.000017600,4096,232.727275,4096,0,1,0,0,16,17,4096,33184,98304,131488,32.102,8.000,8,0,1,0,0,0,16,0,0,160,0,0,0,33024,0,0,0,0,0,0,1
original4,dense_uint64,4096,1,0,0,0,9,insert,0.000193900,4096,21.124291,4096,0,1,0,0,16,17,4096,33184,98304,131488,32.102,8.000,8,0,1,0,0,0,16,0,0,160,0,0,0,33024,0,0,0,0,0,0,1
original4,dense_uint64,4096,1,0,0,0,9,lookup_success,0.000056900,4096,71.985940,4096,0,1,0,0,16,17,4096,33184,98304,131488,32.102,8.000,8,0,1,0,0,0,16,0,0,160,0,0,0,33024,0,0,0,0,0,0,1
original4,dense_uint64,4096,1,0,0,0,9,lookup_absent,0.000017600,4096,232.727272,4096,0,1,0,0,16,17,4096,33184,98304,131488,32.102,8.000,8,0,1,0,0,0,16,0,0,160,0,0,0,33024,0,0,0,0,0,0,1
original4,dense_uint64,4096,1,0,0,0,10,insert,0.000201000,4096,20.378109,4096,0,1,0,0,16,17,4096,33184,98304,131488,32.102,8.000,8,0,1,0,0,0,16,0,0,160,0,0,0,33024,0,0,0,0,0,0,1
original4,dense_uint64,4096,1,0,0,0,10,lookup_success,0.000057000,4096,71.859649,4096,0,1,0,0,16,17,4096,33184,98304,131488,32.102,8.000,8,0,1,0,0,0,16,0,0,160,0,0,0,33024,0,0,0,0,0,0,1
original4,dense_uint64,4096,1,0,0,0,10,lookup_absent,0.000017600,4096,232.727272,4096,0,1,0,0,16,17,4096,33184,98304,131488,32.102,8.000,8,0,1,0,0,0,16,0,0,160,0,0,0,33024,0,0,0,0,0,0,1
original4,dense_uint64,4096,1,0,0,0,11,insert,0.000197200,4096,20.770791,4096,0,1,0,0,16,17,4096,33184,98304,131488,32.102,8.000,8,0,1,0,0,0,16,0,0,160,0,0,0,33024,0,0,0,0,0,0,1
original4,dense_uint64,4096,1,0,0,0,11,lookup_success,0.000056000,4096,73.142857,4096,0,1,0,0,16,17,4096,33184,98304,131488,32.102,8.000,8,0,1,0,0,0,16,0,0,160,0,0,0,33024,0,0,0,0,0,0,1
original4,dense_uint64,4096,1,0,0,0,11,lookup_absent,0.000017600,4096,232.727275,4096,0,1,0,0,16,17,4096,33184,98304,131488,32.102,8.000,8,0,1,0,0,0,16,0,0,160,0,0,0,33024,0,0,0,0,0,0,1
original4,dense_uint64,4096,1,0,0,0,12,insert,0.000193100,4096,21.211807,4096,0,1,0,0,16,17,4096,33184,98304,131488,32.102,8.000,8,0,1,0,0,0,16,0,0,160,0,0,0,33024,0,0,0,0,0,0,1
