variant,workload,n,fanout_target,groups,prefix_len,operation,runs,mops_mean,mops_std,scans_mean,scans_std,avg_entries,mops_ci95,scans_ci95
node256_only,controlled_fanout,1000,1,1000,0,iter_full,10,335.2473396,70.57788342373561,335247.33969490003,70577.88338159656,1000.0,43.744625354358064,43744.625328240014
node256_only,controlled_fanout,1000,1,1000,4,iter_prefix,10,20.036240499999998,0.32651613576165434,20036240.4365206,326516.09743715293,1.0,0.2023767976335027,202376.7738797306
node256_only,controlled_fanout,2000,2,1000,0,iter_full,10,15.0814492,6.015195621618926,7540.724543900001,3007.597766471041,2000.0,3.728256872214483,1864.1284086260023
node256_only,controlled_fanout,2000,2,1000,4,iter_prefix,10,13.738780700000001,3.2234578960251516,6869390.3566228,1611728.940437119,2.0,1.9979199030463657,998959.9468278661
node256_only,controlled_fanout,3000,3,1000,0,iter_full,10,32.085652800000005,6.104634354238602,10695.2175875,2034.8780894607246,3000.0,3.7836915730134093,1261.2305065996813
node256_only,controlled_fanout,3000,3,1000,4,iter_prefix,10,19.473318900000002,3.4512805504220045,6491106.2629971,1150426.813492615,3.0,2.139125847180334,713041.9263454125
node256_only,controlled_fanout,4000,4,1000,0,iter_full,10,34.6803942,7.143222884865781,8670.098556699999,1785.8056776933372,4000.0,4.427415413481258,1106.8538263944126
node256_only,controlled_fanout,4000,4,1000,4,iter_prefix,10,24.3858587,7.234756864174513,6096464.6670969,1808689.2288707371,4.0,4.484148761632464,1121037.1983584405
node256_only,controlled_fanout,5000,5,1000,0,iter_full,10,47.1906291,8.685291087034518,9438.1258211,1737.0582231389951,5000.0,5.383199187411404,1076.6398410350678
node256_only,controlled_fanout,5000,5,1000,4,iter_prefix,10,35.0633249,4.132719008220522,7012665.0062996,826543.8067792619,5.0,2.5614857791079992,512297.1590044035
node256_only,controlled_fanout,6000,6,1000,0,iter_full,10,54.207808,14.31692674390331,9034.6346801,2386.154464627992,6000.0,8.873723130484478,1478.953859612011
node256_only,controlled_fanout,6000,6,1000,4,iter_prefix,10,40.5821612,5.833496859022986,6763693.5300355,972249.4806291411,6.0,3.6156388123983563,602606.4712899531
