variant,workload,n,seed,run,operation,seconds,visited,scans,mops_per_sec,scans_per_sec,avg_entries_per_scan,prefix_len,fanout_target,groups,keys,bytes_per_key,internal_node_bytes,total_bytes,avg_leaf_depth,max_leaf_depth
node64,dense_uint64,4096,1,4,iter_full,0.000026700,12288,3,460.224726,112359.552329,4096.000000,0,0,0,4096,32.101562,33184,131488,8.000,8
node64,dense_uint64,4096,1,5,iter_full,0.000026700,12288,3,460.224726,112359.552329,4096.000000,0,0,0,4096,32.101562,33184,131488,8.000,8
node64,dense_uint64,4096,1,6,iter_full,0.000026700,12288,3,460.224726,112359.552329,4096.000000,0,0,0,4096,32.101562,33184,131488,8.000,8
node64,dense_uint64,4096,1,7,iter_full,0.000026600,12288,3,461.954908,112781.959896,4096.000000,0,0,0,4096,32.101562,33184,131488,8.000,8
node64,dense_uint64,4096,1,8,iter_full,0.000026600,12288,3,461.954908,112781.959896,4096.000000,0,0,0,4096,32.101562,33184,131488,8.000,8
node64,dense_uint64,4096,1,9,iter_full,0.000026700,12288,3,460.224726,112359.552329,4096.000000,0,0,0,4096,32.101562,33184,131488,8.000,8
node64,dense_uint64,4096,1,0,iter_prefix,0.004644800,2097152,512,451.505339,110230.795744,4096.000000,6,0,0,4096,32.101562,33184,131488,8.000,8
node64,dense_uint64,4096,1,1,iter_prefix,0.004564600,2097152,512,459.438286,112167.550281,4096.000000,6,0,0,4096,32.101562,33184,131488,8.000,8
node64,dense_uint64,4096,1,2,iter_prefix,0.004162900,2097152,512,503.771889,122991.183903,4096.000000,6,0,0,4096,32.101562,33184,131488,8.000,8
node64,dense_uint64,4096,1,3,iter_prefix,0.005383200,2097152,512,389.573488,95110.714859,4096.000000,6,0,0,4096,32.101562,33184,131488,8.000,8
node64,dense_uint64,4096,1,4,iter_prefix,0.004133000,2097152,512,507.416404,123880.958076,4096.000000,6,0,0,4096,32.101562,33184,131488,8.000,8
node64,dense_uint64,4096,1,5,iter_prefix,0.004116600,2097152,512,509.437886,124374.483767,4096.000000,6,0,0,4096,32.101562,33184,131488,8.000,8
node64,dense_uint64,4096,1,6,iter_prefix,0.004324400,2097152,512,484.957914,118397.928115,4096.000000,6,0,0,4096,32.101562,33184,131488,8.000,8
node64,dense_uint64,4096,1,7,iter_prefix,0.004124700,2097152,512,508.437462,124130.239860,4096.000000,6,0,0,4096,32.101562,33184,131488,8.000,8
node64,dense_uint64,4096,1,8,iter_prefix,0.004120700,2097152,512,508.931006,124250.734005,4096.000000,6,0,0,4096,32.101562,33184,131488,8.000,8
node64,dense_uint64,4096,1,9,iter_prefix,0.004128700,2097152,512,507.944874,124009.978972,4096.000000,6,0,0,4096,32.101562,33184,131488,8.000,8
node64,dense_uint64,4096,1,0,iter_prefix,0.000435200,131072,512,301.176473,1176470.599073,256.000000,7,0,0,4096,32.101562,33184,131488,8.000,8
node64,dense_uint64,4096,1,1,iter_prefix,0.000301000,131072,512,435.455149,1700996.677538,256.000000,7,0,0,4096,32.101562,33184,131488,8.000,8
node64,dense_uint64,4096,1,2,iter_prefix,0.000293300,131072,512,446.887147,1745652.917414,256.000000,7,0,0,4096,32.101562,33184,131488,8.000,8
node64,dense_uint64,4096,1,3,iter_prefix,0.000293400,131072,512,446.734832,1745057.939156,256.000000,7,0,0,4096,32.101562,33184,131488,8.000,8
node64,dense_uint64,4096,1,4,iter_prefix,0.000297600,131072,512,440.430103,1720430.088736,256.000000,7,0,0,4096,32.101562,33184,131488,8.000,8
node64,dense_uint64,4096,1,5,iter_prefix,0.000293400,131072,512,446.734832,1745057.939156,256.000000,7,0,0,4096,32.101562,33184,131488,8.000,8
node64,dense_uint64,4096,1,6,iter_prefix,0.000293300,131072,512,446.887147,1745652.917414,256.000000,7,0,0,4096,32.101562,33184,131488,8.000,8
node64,dense_uint64,4096,1,7,iter_prefix,0.000293300,131072,512,446.887147,1745652.917414,256.000000,7,0,0,4096,32.101562,33184,131488,8.000,8
node64,dense_uint64,4096,1,8,iter_prefix,0.000293200,131072,512,447.039565,1746248.301526,256.000000,7,0,0,4096,32.101562,33184,131488,8.000,8
node64,dense_uint64,4096,1,9,iter_prefix,0.000293300,131072,512,446.887147,1745652.917414,256.000000,7,0,0,4096,32.101562,33184,131488,8.000,8
node32_node64,dense_uint64,4096,1,0,iter_full,0.000029500,12288,3,416.542386,101694.918450,4096.000000,0,0,0,4096,32.101562,33184,131488,8.000,8
node32_node64,dense_uint64,4096,1,1,iter_full,0.000029300,12288,3,419.385701,102389.087060,4096.000000,0,0,0,4096,32.101562,33184,131488,8.000,8
node32_node64,dense_uint64,4096,1,2,iter_full,0.000029300,12288,3,419.385596,102389.061634,4096.000000,0,0,0,4096,32.101562,33184,131488,8.000,8
node32_node64,dense_uint64,4096,1,3,iter_full,0.000029300,12288,3,419.385596,102389.061634,4096.000000,0,0,0,4096,32.101562,33184,131488,8.000,8
node32_node64,dense_uint64,4096,1,4,iter_full,0.000029300,12288,3,419.385596,102389.061634,4096.000000,0,0,0,4096,32.101562,33184,131488,8.000,8
node32_node64,dense_uint64,4096,1,5,iter_full,0.000031900,12288,3,385.203728,94043.878905,4096.000000,0,0,0,4096,32.101562,33184,131488,8.000,8
node32_node64,dense_uint64,4096,1,6,iter_full,0.000031900,12288,3,385.203816,94043.900355,4096.000000,0,0,0,4096,32.101562,33184,131488,8.000,8
node32_node64,dense_uint64,4096,1,7,iter_full,0.000029300,12288,3,419.385596,102389.061634,4096.000000,0,0,0,4096,32.101562,33184,131488,8.000,8
node32_node64,dense_uint64,4096,1,8,iter_full,0.000029200,12288,3,420.821964,102739.737327,4096.000000,0,0,0,4096,32.101562,33184,131488,8.000,8
node32_node64,dense_uint64,4096,1,9,iter_full,0.000030900,12288,3,397.669965,97087.393781,4096.000000,0,0,0,4096,32.101562,33184,131488,8.000,8
node32_node64,dense_uint64,4096,1,0,iter_prefix,0.005012000,2097152,512,418.426178,102154.828531,4096.000000,6,0,0,4096,32.101562,33184,131488,8.000,8
node32_node64,dense_uint64,4096,1,1,iter_prefix,0.004248200,2097152,512,493.656607,120521.632514,4096.000000,6,0,0,4096,32.101562,33184,131488,8.000,8
node32_node64,dense_uint64,4096,1,2,iter_prefix,0.004605900,2097152,512,455.318613,111161.770737,4096.000000,6,0,0,4096,32.101562,33184,131488,8.000,8
node32_node64,dense_uint64,4096,1,3,iter_prefix,0.006038800,2097152,512,347.279592,84785.056657,4096.000000,6,0,0,4096,32.101562,33184,131488,8.000,8
node32_node64,dense_uint64,4096,1,4,iter_prefix,0.004966900,2097152,512,422.225533,103082.405525,4096.000000,6,0,0,4096,32.101562,33184,131488,8.000,8
