variant,workload,n,seed,fanout_target,groups,zipf_s,run,operation,seconds,ops,mops_per_sec,keys,node4,node16,node32,node48,node256,internal_nodes,leaves,internal_node_bytes,leaf_bytes,total_bytes,bytes_per_key,avg_leaf_depth,max_leaf_depth,fanout_0_4,fanout_5_16,fanout_17_32,fanout_33_48,fanout_49_64,fanout_65_256,node64,node4_bytes,node16_bytes,node32_bytes,node48_bytes,node64_bytes,node256_bytes,node2,node5,node2_bytes,node5_bytes,fanout_1_2,fanout_3_5,fanout_6_16
count1_node256,dense_uint64,65536,1,0,0,0,0,insert,0.005142900,65536,12.743005,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448,0,0,0,0,0,0,0
count1_node256,dense_uint64,65536,1,0,0,0,0,lookup_success,0.001668900,65536,39.268980,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448,0,0,0,0,0,0,0
count1_node256,dense_uint64,65536,1,0,0,0,0,lookup_absent,0.000274300,65536,238.920889,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448,0,0,0,0,0,0,0
count1_node256,dense_uint64,65536,1,0,0,0,1,insert,0.003966200,65536,16.523625,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448,0,0,0,0,0,0,0
count1_node256,dense_uint64,65536,1,0,0,0,1,lookup_success,0.001846200,65536,35.497779,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448,0,0,0,0,0,0,0
count1_node256,dense_uint64,65536,1,0,0,0,1,lookup_absent,0.000274300,65536,238.920889,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448,0,0,0,0,0,0,0
count1_node256,dense_uint64,65536,1,0,0,0,2,insert,0.003813200,65536,17.186615,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448,0,0,0,0,0,0,0
count1_node256,dense_uint64,65536,1,0,0,0,2,lookup_success,0.001666400,65536,39.327892,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448,0,0,0,0,0,0,0
count1_node256,dense_uint64,65536,1,0,0,0,2,lookup_absent,0.000231400,65536,283.215210,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448,0,0,0,0,0,0,0
count1_node256,dense_uint64,65536,1,0,0,0,3,insert,0.004156100,65536,15.768629,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448,0,0,0,0,0,0,0
count1_node256,dense_uint64,65536,1,0,0,0,3,lookup_success,0.001667100,65536,39.311379,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448,0,0,0,0,0,0,0
count1_node256,dense_uint64,65536,1,0,0,0,3,lookup_absent,0.000230600,65536,284.197742,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448,0,0,0,0,0,0,0
count1_node256,dense_uint64,65536,1,0,0,0,4,insert,0.003353600,65536,19.541985,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448,0,0,0,0,0,0,0
count1_node256,dense_uint64,65536,1,0,0,0,4,lookup_success,0.001663000,65536,39.408298,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448,0,0,0,0,0,0,0
count1_node256,dense_uint64,65536,1,0,0,0,4,lookup_absent,0.000219800,65536,298.161965,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448,0,0,0,0,0,0,0
count1_node256,dense_uint64,65536,1,0,0,0,5,insert,0.003806100,65536,17.218675,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448,0,0,0,0,0,0,0
count1_node256,dense_uint64,65536,1,0,0,0,5,lookup_success,0.001674600,65536,39.135316,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448,0,0,0,0,0,0,0
count1_node256,dense_uint64,65536,1,0,0,0,5,lookup_absent,0.000259200,65536,252.839511,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448,0,0,0,0,0,0,0
count1_node256,dense_uint64,65536,1,0,0,0,6,insert,0.003410300,65536,19.217078,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448,0,0,0,0,0,0,0
count1_node256,dense_uint64,65536,1,0,0,0,6,lookup_success,0.001684000,65536,38.916865,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448,0,0,0,0,0,0,0
count1_node256,dense_uint64,65536,1,0,0,0,6,lookup_absent,0.000243200,65536,269.473680,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448,0,0,0,0,0,0,0
count1_node256,dense_uint64,65536,1,0,0,0,7,insert,0.003825600,65536,17.130908,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448,0,0,0,0,0,0,0
count1_node256,dense_uint64,65536,1,0,0,0,7,lookup_success,0.001689400,65536,38.792471,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448,0,0,0,0,0,0,0
count1_node256,dense_uint64,65536,1,0,0,0,7,lookup_absent,0.000239200,65536,273.979930,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448,0,0,0,0,0,0,0
count1_node256,dense_uint64,65536,1,0,0,0,8,insert,0.003374800,65536,19.419225,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448,0,0,0,0,0,0,0
count1_node256,dense_uint64,65536,1,0,0,0,8,lookup_success,0.001660500,65536,39.467630,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448,0,0,0,0,0,0,0
count1_node256,dense_uint64,65536,1,0,0,0,8,lookup_absent,0.000238400,65536,274.899333,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448,0,0,0,0,0,0,0
count1_node256,dense_uint64,65536,1,0,0,0,9,insert,0.003814900,65536,17.178956,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448,0,0,0,0,0,0,0
count1_node256,dense_uint64,65536,1,0,0,0,9,lookup_success,0.001667800,65536,39.294879,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448,0,0,0,0,0,0,0
count1_node256,dense_uint64,65536,1,0,0,0,9,lookup_absent,0.000242100,65536,270.698056,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448,0,0,0,0,0,0,0
count2_node16_node256,dense_uint64,65536,1,0,0,0,0,insert,0.005275600,65536,12.422473,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448,0,0,0,0,0,0,0
count2_node16_node256,dense_uint64,65536,1,0,0,0,0,lookup_success,0.001522500,65536,43.044992,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448,0,0,0,0,0,0,0
count2_node16_node256,dense_uint64,65536,1,0,0,0,0,lookup_absent,0.000255200,65536,256.802515,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448,0,0,0,0,0,0,0
count2_node16_node256,dense_uint64,65536,1,0,0,0,1,insert,0.003614400,65536,18.131917,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448,0,0,0,0,0,0,0
count2_node16_node256,dense_uint64,65536,1,0,0,0,1,lookup_success,0.001671600,65536,39.205552,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448,0,0,0,0,0,0,0
count2_node16_node256,dense_uint64,65536,1,0,0,0,1,lookup_absent,0.000250900,65536,261.203662,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448,0,0,0,0,0,0,0
count2_node16_node256,dense_uint64,65536,1,0,0,0,2,insert,0.003478200,65536,18.841930,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448,0,0,0,0,0,0,0
count2_node16_node256,dense_uint64,65536,1,0,0,0,2,lookup_success,0.001662500,65536,39.420150,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448,0,0,0,0,0,0,0
count2_node16_node256,dense_uint64,65536,1,0,0,0,2,lookup_absent,0.000220400,65536,297.350276,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448,0,0,0,0,0,0,0
count2_node16_node256,dense_uint64,65536,1,0,0,0,3,insert,0.003411600,65536,19.209755,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448,0,0,0,0,0,0,0
count2_node16_node256,dense_uint64,65536,1,0,0,0,3,lookup_success,0.002077800,65536,31.541053,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448,0,0,0,0,0,0,0
count2_node16_node256,dense_uint64,65536,1,0,0,0,3,lookup_absent,0.000200400,65536,327.025951,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448,0,0,0,0,0,0,0
count2_node16_node256,dense_uint64,65536,1,0,0,0,4,insert,0.003387100,65536,19.348705,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448,0,0,0,0,0,0,0
count2_node16_node256,dense_uint64,65536,1,0,0,0,4,lookup_success,0.001663100,65536,39.405929,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448,0,0,0,0,0,0,0
count2_node16_node256,dense_uint64,65536,1,0,0,0,4,lookup_absent,0.000199100,65536,329.161221,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448,0,0,0,0,0,0,0
count2_node16_node256,dense_uint64,65536,1,0,0,0,5,insert,0.003460800,65536,18.936662,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448,0,0,0,0,0,0,0
count2_node16_node256,dense_uint64,65536,1,0,0,0,5,lookup_success,0.001956600,65536,33.494838,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448,0,0,0,0,0,0,0
count2_node16_node256,dense_uint64,65536,1,0,0,0,5,lookup_absent,0.000248800,65536,263.408357,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448,0,0,0,0,0,0,0
count2_node16_node256,dense_uint64,65536,1,0,0,0,6,insert,0.004402100,65536,14.887440,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448,0,0,0,0,0,0,0
count2_node16_node256,dense_uint64,65536,1,0,0,0,6,lookup_success,0.001687100,65536,38.845356,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448,0,0,0,0,0,0,0
count2_node16_node256,dense_uint64,65536,1,0,0,0,6,lookup_absent,0.000254500,65536,257.508846,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448,0,0,0,0,0,0,0
count2_node16_node256,dense_uint64,65536,1,0,0,0,7,insert,0.003687700,65536,17.771511,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448,0,0,0,0,0,0,0
count2_node16_node256,dense_uint64,65536,1,0,0,0,7,lookup_success,0.001722900,65536,38.038191,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448,0,0,0,0,0,0,0
count2_node16_node256,dense_uint64,65536,1,0,0,0,7,lookup_absent,0.000233900,65536,280.188116,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448,0,0,0,0,0,0,0
count2_node16_node256,dense_uint64,65536,1,0,0,0,8,insert,0.003455300,65536,18.966805,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448,0,0,0,0,0,0,0
count2_node16_node256,dense_uint64,65536,1,0,0,0,8,lookup_success,0.001710000,65536,38.325146,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448,0,0,0,0,0,0,0
count2_node16_node256,dense_uint64,65536,1,0,0,0,8,lookup_absent,0.000222200,65536,294.941489,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448,0,0,0,0,0,0,0
count2_node16_node256,dense_uint64,65536,1,0,0,0,9,insert,0.003456900,65536,18.958026,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448,0,0,0,0,0,0,0
count2_node16_node256,dense_uint64,65536,1,0,0,0,9,lookup_success,0.001961700,65536,33.407759,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448,0,0,0,0,0,0,0
count2_node16_node256,dense_uint64,65536,1,0,0,0,9,lookup_absent,0.000229500,65536,285.559911,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448,0,0,0,0,0,0,0
count3_node4_node16_node256,dense_uint64,65536,1,0,0,0,0,insert,0.005593300,65536,11.716876,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448,0,0,0,0,0,0,0
count3_node4_node16_node256,dense_uint64,65536,1,0,0,0,0,lookup_success,0.001524200,65536,42.996982,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448,0,0,0,0,0,0,0
count3_node4_node16_node256,dense_uint64,65536,1,0,0,0,0,lookup_absent,0.000263200,65536,248.996957,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448,0,0,0,0,0,0,0
count3_node4_node16_node256,dense_uint64,65536,1,0,0,0,1,insert,0.003608400,65536,18.162066,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448,0,0,0,0,0,0,0
