variant,workload,n,seed,fanout_target,groups,zipf_s,run,operation,seconds,ops,mops_per_sec,keys,node4,node16,node32,node48,node256,internal_nodes,leaves,internal_node_bytes,leaf_bytes,total_bytes,bytes_per_key,avg_leaf_depth,max_leaf_depth,fanout_0_4,fanout_5_16,fanout_17_32,fanout_33_48,fanout_49_64,fanout_65_256,node64,node4_bytes,node16_bytes,node32_bytes,node48_bytes,node64_bytes,node256_bytes,node2,node5,node2_bytes,node5_bytes,fanout_1_2,fanout_3_5,fanout_6_16
count1_node256,controlled_fanout,1000,1,1,1000,0,0,insert,0.000056700,1000,17.636684,1000,0,0,0,0,5,5,1000,10320,22000,32320,32.320,4.000,4,1,0,0,0,0,4,0,0,0,0,0,0,10320,0,0,0,0,0,1,0
count1_node256,controlled_fanout,1000,1,1,1000,0,0,lookup_success,0.000009400,1000,106.382910,1000,0,0,0,0,5,5,1000,10320,22000,32320,32.320,4.000,4,1,0,0,0,0,4,0,0,0,0,0,0,10320,0,0,0,0,0,1,0
count1_node256,controlled_fanout,1000,1,1,1000,0,0,lookup_absent,0.000008700,1000,114.942519,1000,0,0,0,0,5,5,1000,10320,22000,32320,32.320,4.000,4,1,0,0,0,0,4,0,0,0,0,0,0,10320,0,0,0,0,0,1,0
count1_node256,controlled_fanout,1000,1,1,1000,0,1,insert,0.000041000,1000,24.390244,1000,0,0,0,0,5,5,1000,10320,22000,32320,32.320,4.000,4,1,0,0,0,0,4,0,0,0,0,0,0,10320,0,0,0,0,0,1,0
count1_node256,controlled_fanout,1000,1,1,1000,0,1,lookup_success,0.000010000,1000,99.999966,1000,0,0,0,0,5,5,1000,10320,22000,32320,32.320,4.000,4,1,0,0,0,0,4,0,0,0,0,0,0,10320,0,0,0,0,0,1,0
count1_node256,controlled_fanout,1000,1,1,1000,0,1,lookup_absent,0.000008200,1000,121.951157,1000,0,0,0,0,5,5,1000,10320,22000,32320,32.320,4.000,4,1,0,0,0,0,4,0,0,0,0,0,0,10320,0,0,0,0,0,1,0
count1_node256,controlled_fanout,1000,1,1,1000,0,2,insert,0.000039900,1000,25.062658,1000,0,0,0,0,5,5,1000,10320,22000,32320,32.320,4.000,4,1,0,0,0,0,4,0,0,0,0,0,0,10320,0,0,0,0,0,1,0
count1_node256,controlled_fanout,1000,1,1,1000,0,2,lookup_success,0.000009900,1000,101.010074,1000,0,0,0,0,5,5,1000,10320,22000,32320,32.320,4.000,4,1,0,0,0,0,4,0,0,0,0,0,0,10320,0,0,0,0,0,1,0
count1_node256,controlled_fanout,1000,1,1,1000,0,2,lookup_absent,0.000008200,1000,121.951265,1000,0,0,0,0,5,5,1000,10320,22000,32320,32.320,4.000,4,1,0,0,0,0,4,0,0,0,0,0,0,10320,0,0,0,0,0,1,0
count1_node256,controlled_fanout,1000,1,1,1000,0,3,insert,0.000042000,1000,23.809524,1000,0,0,0,0,5,5,1000,10320,22000,32320,32.320,4.000,4,1,0,0,0,0,4,0,0,0,0,0,0,10320,0,0,0,0,0,1,0
count1_node256,controlled_fanout,1000,1,1,1000,0,3,lookup_success,0.000009900,1000,101.010074,1000,0,0,0,0,5,5,1000,10320,22000,32320,32.320,4.000,4,1,0,0,0,0,4,0,0,0,0,0,0,10320,0,0,0,0,0,1,0
count1_node256,controlled_fanout,1000,1,1,1000,0,3,lookup_absent,0.000008200,1000,121.951265,1000,0,0,0,0,5,5,1000,10320,22000,32320,32.320,4.000,4,1,0,0,0,0,4,0,0,0,0,0,0,10320,0,0,0,0,0,1,0
count1_node256,controlled_fanout,1000,1,1,1000,0,4,insert,0.000039100,1000,25.575448,1000,0,0,0,0,5,5,1000,10320,22000,32320,32.320,4.000,4,1,0,0,0,0,4,0,0,0,0,0,0,10320,0,0,0,0,0,1,0
count1_node256,controlled_fanout,1000,1,1,1000,0,4,lookup_success,0.000009900,1000,101.010074,1000,0,0,0,0,5,5,1000,10320,22000,32320,32.320,4.000,4,1,0,0,0,0,4,0,0,0,0,0,0,10320,0,0,0,0,0,1,0
count1_node256,controlled_fanout,1000,1,1,1000,0,4,lookup_absent,0.000034900,1000,28.653298,1000,0,0,0,0,5,5,1000,10320,22000,32320,32.320,4.000,4,1,0,0,0,0,4,0,0,0,0,0,0,10320,0,0,0,0,0,1,0
count1_node256,controlled_fanout,1000,1,1,1000,0,5,insert,0.000040100,1000,24.937656,1000,0,0,0,0,5,5,1000,10320,22000,32320,32.320,4.000,4,1,0,0,0,0,4,0,0,0,0,0,0,10320,0,0,0,0,0,1,0
count1_node256,controlled_fanout,1000,1,1,1000,0,5,lookup_success,0.000009800,1000,102.040873,1000,0,0,0,0,5,5,1000,10320,22000,32320,32.320,4.000,4,1,0,0,0,0,4,0,0,0,0,0,0,10320,0,0,0,0,0,1,0
count1_node256,controlled_fanout,1000,1,1,1000,0,5,lookup_absent,0.000008200,1000,121.951157,1000,0,0,0,0,5,5,1000,10320,22000,32320,32.320,4.000,4,1,0,0,0,0,4,0,0,0,0,0,0,10320,0,0,0,0,0,1,0
count1_node256,controlled_fanout,1000,1,1,1000,0,6,insert,0.000039300,1000,25.445292,1000,0,0,0,0,5,5,1000,10320,22000,32320,32.320,4.000,4,1,0,0,0,0,4,0,0,0,0,0,0,10320,0,0,0,0,0,1,0
count1_node256,controlled_fanout,1000,1,1,1000,0,6,lookup_success,0.000009900,1000,101.010074,1000,0,0,0,0,5,5,1000,10320,22000,32320,32.320,4.000,4,1,0,0,0,0,4,0,0,0,0,0,0,10320,0,0,0,0,0,1,0
count1_node256,controlled_fanout,1000,1,1,1000,0,6,lookup_absent,0.000008800,1000,113.636344,1000,0,0,0,0,5,5,1000,10320,22000,32320,32.320,4.000,4,1,0,0,0,0,4,0,0,0,0,0,0,10320,0,0,0,0,0,1,0
