variant,workload,n,fanout_target,groups,zipf_s,operation,runs,mean,std,ci95,menu_count
count1_node256,words_fixture,16384,0,0,0.0,lookup_success,10,6.778735500000001,0.7794962923698081,0.4831368074628442,1
count1_node256,words_fixture,65536,0,0,0.0,insert,10,1.5830912,0.03915864532556426,0.024270779825835802,1
count1_node256,words_fixture,65536,0,0,0.0,lookup_absent,10,137.5236287,3.3636616976216382,2.0848191195795787,1
count1_node256,words_fixture,65536,0,0,0.0,lookup_success,10,3.1518368,0.2670959874725855,0.1655478081638134,1
count1_node256,words_fixture,235886,0,0,0.0,insert,20,1.12751695,0.04616079388110876,0.020230859910649043,1
count1_node256,words_fixture,235886,0,0,0.0,lookup_absent,20,151.7108564,7.782921045949032,3.411015542362137,1
count1_node256,words_fixture,235886,0,0,0.0,lookup_success,20,1.8783425999999999,0.14545630498733433,0.06374903639869375,1
count2_node16_node256,dense_uint64,4096,0,0,0.0,insert,10,24.7131005,2.6803821718246836,1.6613180818842606,2
count2_node16_node256,dense_uint64,4096,0,0,0.0,lookup_absent,10,252.66994329999997,8.790028459091326,5.448116083172041,2
count2_node16_node256,dense_uint64,4096,0,0,0.0,lookup_success,10,77.9842664,4.324448860777499,2.6803211728955474,2
count2_node16_node256,dense_uint64,16384,0,0,0.0,insert,10,21.4705718,4.608861630829985,2.856602034100249,2
count2_node16_node256,dense_uint64,16384,0,0,0.0,lookup_absent,10,251.2991592,43.80511173316662,27.150689542054618,2
count2_node16_node256,dense_uint64,16384,0,0,0.0,lookup_success,10,54.662852599999994,8.41770969026028,5.2173505194454215,2
count2_node16_node256,dense_uint64,65536,0,0,0.0,insert,10,17.4458216,2.4504080877458936,1.5187786678182522,2
count2_node16_node256,dense_uint64,65536,0,0,0.0,lookup_absent,10,278.4768565,26.50306824229666,16.42677188319242,2
count2_node16_node256,dense_uint64,65536,0,0,0.0,lookup_success,10,38.2903279,2.3322152419779174,1.445521983048548,2
count2_node16_node256,dense_uint64,262144,0,0,0.0,insert,10,8.1044098,1.1225116502274712,0.6957399288994424,2
count2_node16_node256,dense_uint64,262144,0,0,0.0,lookup_absent,10,202.6934915,10.051212911629433,6.229806305416178,2
count2_node16_node256,dense_uint64,262144,0,0,0.0,lookup_success,10,8.9898211,1.362427844451829,0.8444415266758701,2
count2_node16_node256,dense_uint64,1048576,0,0,0.0,insert,10,2.8804924,0.09513598453465325,0.05896589412012344,2
